Start Hardware Leakage Evaluation

Library file:   library.lib
Library name:   NANG45
Design file:    design.v
Module name:    circuit
Linker file:    linker.ld
Settings file:  config.set
Result folder:  .

Read library file...done!
Read design file..."circuit"...done!
Make circuit depth...done!
Read settings file...done with 5 warnings!
    Warning "remove_full_probing_sets" is not specified. Default "remove_full_probing_sets" = no is taken!
    Warning "max_distance_multivariate" is not specified. Default "max_distance_multivariate" = 10 is taken!
    Warning "no_of_probing_sets_per_step" is not specified. Default "no_of_probing_sets_per_step" = all is taken!
    Warning "no_of_outputs" is not specified. Default "no_of_outputs" = 0 is taken!
    Warning "waveform_simulation" is not specified. Default "waveform_simulation" = false is taken!
Construct probes...done!
Prepare simulation memory...done!
Prepare shared data for 48 threads ...done!

Generate list of standard probes from 175 standard probe locations...700 standard probes found...done!
Generate list of extended probes from 108 extended probe locations...4000 extended probes found...done!
Generate univariate probing sets...done (last step)! 700 probing sets generated!
Extend all probing sets...done!
Remove duplicated probes in the sets...done!
Remove duplicated probing sets...done! 376 probing sets remain!
Remove subsets of probing sets...Setting univariate case...done! 356 probing sets remain!
----------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | Security Order | Distance | #Entries in Report | #Probing Sets | Maximum #Probes per Set |
----------------------------------------------------------------------------------------------------------------------------------
|              700 |              432 |              1 |       10 |                236 |           356 |                      32 |
----------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
|        43.159173s |        5.117724GB |      1126400 / 1266703 |                          RegIn_instX_n35 (4) |   4.025166 |    OKAY |
|        43.771027s |        5.183260GB |      1136640 / 1272231 |                          RegIn_instX_n35 (4) |   3.897182 |    OKAY |
|        44.380085s |        5.248796GB |      1146880 / 1277745 |                          RegIn_instX_n35 (4) |   4.056602 |    OKAY |
|        44.985598s |        5.248796GB |      1157120 / 1283203 |                          RegIn_instX_n35 (4) |   4.289877 |    OKAY |
|        45.619321s |        5.248796GB |      1167360 / 1288651 |                          RegIn_instX_n35 (4) |   4.232982 |    OKAY |
|        46.254387s |        5.314332GB |      1177600 / 1294089 |                          RegIn_instX_n35 (4) |   4.136389 |    OKAY |
|        46.970627s |        5.314332GB |      1187840 / 1299497 |                          RegIn_instX_n35 (4) |   4.098711 |    OKAY |
|        47.688913s |        5.314332GB |      1198080 / 1304855 |                          RegIn_instX_n35 (4) |   4.133945 |    OKAY |
|        48.342793s |        5.314332GB |      1208320 / 1310201 |                          RegIn_instX_n35 (4) |   3.992032 |    OKAY |
|        49.009862s |        5.314332GB |      1218560 / 1315515 |                          RegOut_inst_n56 (5) |  13.352491 | LEAKAGE |
|        49.676030s |        5.314332GB |      1228800 / 1320813 |                          RegOut_inst_n56 (5) |  13.352439 | LEAKAGE |
|        50.339754s |        5.314332GB |      1239040 / 1326067 |                          RegOut_inst_n56 (5) |  13.351450 | LEAKAGE |
|        51.016244s |        5.314332GB |      1249280 / 1331311 |                          RegOut_inst_n56 (5) |  13.348533 | LEAKAGE |
|        51.704302s |        5.314332GB |      1259520 / 1336513 |                          RegOut_inst_n56 (5) |  13.349752 | LEAKAGE |
|        52.395255s |        5.422876GB |      1269760 / 1341709 |                          RegOut_inst_n56 (5) |  13.348581 | LEAKAGE |
|        53.157684s |        5.472028GB |      1280000 / 1346863 |                          RegOut_inst_n66 (5) |  36.384842 | LEAKAGE |
|        53.829659s |        5.472028GB |      1290240 / 1352015 |                          RegOut_inst_n66 (5) |  36.389782 | LEAKAGE |
|        54.531378s |        5.472028GB |      1300480 / 1357147 |                          RegOut_inst_n66 (5) |  36.689871 | LEAKAGE |
|        55.261325s |        5.472028GB |      1310720 / 1362243 |                          RegOut_inst_n66 (5) |  36.687475 | LEAKAGE |
|        55.972688s |        5.472028GB |      1320960 / 1367343 |                          RegOut_inst_n66 (5) |  48.023098 | LEAKAGE |
|        56.693249s |        5.472028GB |      1331200 / 1372411 |                          RegOut_inst_n66 (5) |  48.022844 | LEAKAGE |
|        57.405911s |        5.472028GB |      1341440 / 1377453 |                          RegOut_inst_n66 (5) |  48.318980 | LEAKAGE |
|        58.153276s |        5.537564GB |      1351680 / 1382475 |                          RegOut_inst_n66 (5) |  48.621144 | LEAKAGE |
|        58.866136s |        5.603100GB |      1361920 / 1387471 |                          RegOut_inst_n66 (5) |  48.617383 | LEAKAGE |
|        59.722470s |        5.603100GB |      1372160 / 1392459 |                          RegOut_inst_n66 (5) |  48.616214 | LEAKAGE |
|        60.494598s |        5.668636GB |      1382400 / 1397411 |                          RegOut_inst_n66 (5) |  49.210133 | LEAKAGE |
|        61.253745s |        5.668636GB |      1392640 / 1402343 |                          RegOut_inst_n66 (5) |  49.215326 | LEAKAGE |
|        62.027744s |        5.668636GB |      1402880 / 1407259 |                          RegOut_inst_n66 (5) |  49.214066 | LEAKAGE |
|        62.833412s |        5.668636GB |      1413120 / 1412145 |                          RegOut_inst_n66 (5) |  49.219052 | LEAKAGE |
|        63.882747s |        5.668636GB |      1423360 / 1417039 |                          RegOut_inst_n66 (5) |  92.753132 | LEAKAGE |
|        64.628154s |        5.668636GB |      1433600 / 1421909 |                          RegOut_inst_n66 (5) | 124.657521 | LEAKAGE |
|        65.436076s |        5.668636GB |      1443840 / 1426747 |                          RegOut_inst_n66 (5) | 124.946288 | LEAKAGE |
